	sender	me
220	entaaaaaaxei mpai antwnh na thn kanw stori mporei xwris to plaisio gt mou xontrainei to xeri	xwris to plaisio
228	einai wraia omws 	an ennoeis oti kapoios pou dn se kserei apo konta alla mono apo insta kai se thewrei mounara tha dei ti fwto kai tha allaksei gnwmh
231	xaxaxaxa oxi ennow an stamatas na th deis h einai adiaforh	kalh erwthsh
236	eides den thn kanw ela pare ena filaki k de bgainw k fwto alles ai	kanw ena q a
242	gt	afou thes na asxolitheis me to insta twra
244	xaxaxaxaxa psofaw thelw auta ta gyalia	poso exoun
248	xaxaxaxaxa re kapou ekei miso na mpw n dw	pes ton giwrgo na sta parei dwro gia ta xristougenna
254	de thelw tha parw epidoma 	to stegastiko ?
257	oxi ergasias	a kala
259	saresoun 	nai
261	xai	e yo
263	ti leei	danah
266	agaph mou pes	aspro h mauro
269	fak aspro nai nai aspro ti omorfa re	aspro nai
275	 	mavro
278	apo poia apopsh	polu attention seeking
281	oi proswpikothtes mou exoun mperdeutei h mia ntynetai gia to aspro kai h allh ntynetai me oti pio fardy brei 	ahahha
286	antwnh plz bres mou ena mpoufan	mpes edw
289	de thelw autes tis markes pws tha to bazw me to poukamiso to burberry	mphkan ta kai thes na ta fas e 
292	de mphkan akoma alla ta anamenw 	tha mpoun poly syntoma xerw atoma pou ta phran
0	mporei na blepoun kati k na to psaxnoun twra ti na sou pw mpoukalia tautoxrona h exei paei polles fores k kathe fora xerw gw dinei apo ena 	tautoxrona
4	oueeeee . . . . eee weird . . . einai polla	apla sto google otan psaxnw
10	kala to gkougkl oti k na to rwthseis karkino leei 	oute kapoios apo oikogeneia mhn agxwnesai
13	ama htan leuxaimia meta thn prwth exetash aimatos tha ekanan exetash myelou ostwn den nomizw kapoio bakthrio isws kapoia iwsh .	exei bebaia kai symptwmata opws eukolo melaniasma kai zalh auto to atomo
17	to eukolo melaniasma mporei an einai apo xamhla aimopetalia . den einai mono h leuxaimia pou kanei tetoia mporei na exei kapoia anaimia	wraia
22	elpizw na bohthhsa alla mhn panikobalesai	to google ftaiei
27	to gkougl den einai h kalyterh phgh plhroforhshs se kati tetoia 	eixate kanena thema me tis fwties ekei eseis 
29	htan arketa pshla h fwtia opote th glitwsame alla exei ginei megalh zhmia ekei . . 	afou o allos gamietai
0	mpro tha mpeite h oxi mhn tsakwneste gia mlkies den axizei	e file me exei tiltarei terma dn mporw shmera allh mera
4	pragmatika aplws to blepei ligo sobara okk ktlbainw nai to xerw araxe aplws den thelei na xanei	tespa exw mpei
9	araxe tha tou perasei	mpeite ena tha mmpw next
11	okk mpro teleiwsame tha mpeis	ela mphka me kati paidia apo panw
0	kafe ? !	nai alla oxi twra
4	diabazeis ? 	molis efaga kai zamakwsa
6	kkk	pu eisai
8	spiti ?	na erthw kentro ?
10	nnnn	cool
13	tou esteila mnma exei leei proponhsh tha erthei gia kafe den exei steilei akoma xekinhses ?	nai
18	xekinhsa se 	ela makina
21	 	paw pros ta ekei
23	ela pou sai egw peftw gia ypno tetoia wra 	vale ksupnhthri na pail doume
27	 	kata tis tha pame gia tsipouro
29	tha pame gia mpasket me xristodoulako molis to kanonisame pame aurio re an einai gia tsipouroa twra paw gia mpiliard me tous giatrous sto mpiliardadiko sthn olgas ama thes ela gia mia writsa	exw paraggeilei fai
34	kk krasi ?	molis xekinhsa
37	gia pou ?	paw na parw ton gianno
40	ok steile mou pou tha katsete	ok
42	tha mpoume lol ?	ye
44	aaante	eimai esw etoimos
47	 . . . . exoume mazeutei . . . . pou na sas vroune oi mpatsoi kai na fate prostimo	mpainw
52	otan xekinhsete steile e akyro den tha erthw telika thakatsw na katharisw to spiti ama thelete elate apo dw meta na araxoume	e hrtha spiti dn to eida
57	nai thn exw dei alla den einai curved kai me pshnei to curved alla kata talla einai mia xara https www .skroutz .gr s aoc cq g u curved gaming monitor .html pare ayth pou einai h idia me curved alla kai auth pou mou esteiles einai apeira worth apo to eshop	to skeftomai to curved
67	https www .displayspecifications .com xrhsimopoihse genika auto einai kalo site https www .skroutz .gr comparelists ?compare c c h teleutaia maresei kamposo	 . 
73	nai	wraia einai gia net
76	den nomizw isa isa pisteuw tha to synhthhseies emena twra mepshse giati exei eurw panw apo thn allh kai gamaei manes kai freesync kai apola	des ti paizei me reliability
85	ela re malaka pou tha exei kameno pixel xd	mlk exw diavasei para polla comments
90	nai re mhn pareis sou lew exw kai gw ama xreiasteis	egine
94	ti to thes ?	dn exw
96	tha sou dwsw re malaka exw cat mhn parei kalwdio 	wraiosss
103	exw ena megalo nai	cool
105	ta pragmata ?	cpu oute shmera
110	 eisai pepegkas an kaneis format giauto 	dn kaneis apla rename
116	tha erthw apo kei na sto kanw re malaka den nomizw omws na einai auto to problhma tha htan roblhma an htan sta ellhnika	to ekana
121	niiice	gt mporei na ginotan malakia
127	lul giati den to ekanes allou install kala tespa wtv afou to ekanes eisai komple h malakia einai twra oti exases to gamato username 	ahahahha
135	phgaine gianno kai an einai akoma arrwstos pes mas na mhn erthoume	komple einai o giannos
141	o giannos ren einai pote komple 	dassylio
143	tha mpoume cs ?	ee dn exw kuttara nustazw full
146	 naaatos ! poso phres thn karta grafikwn sou ?	 
150	 einai ?	rx xt
153	gia thn etairia enos filou mou akoma .paleuw cs ? brhka kati typous kai paizoume kala	tosh wra paizw dn eida to kinhto
158	 	e pws legetai h efarmogh
162	kataskopos na sou pw h mobo sou rog den einai ?	rog strix
166	nice thes na mou peis to serial number ?	tha me hakareis ?
171	exei h asus ena programma pou kai kala sou dinei rewards ama kaneis register oti phres diko ths kommati kai thelw na balw oti kai kala phra th motherboard sou kai na bakw kai th dikia mou otan erthei h mporeis na baleis esy th dikia sou alla den thes 	san ti mporei na kerdizeis
177	den xerw giauto thelw na th bakw na dw re malak aeisai patra ?	nai r
180	pote gyrises ?	proxthes
182	looool giati den mou to eipes na erxomai apokei na paizw cs poy kontevw na to spassw to mpourdelo xd	hahaha tha to kanw san to gymnasthrio
185	 spoiler alert den ginetai tipota . . . .	sad
188	mpeees	sto epomeno
193	e den tha mpoume oute egw oute o giannhs egine malakia thes na ertheis apo dw ? apo to spiti tou giannh	ti egine
198	ama thes ela	ooo
201	pame kana wingman ?	pame ena competitive
203	 natooos	steile
206	anebhkes re poustaki ?	 competitive seri phra xthes
208	w na sou gamhsw	na kleisoume to paixnidi
212	k	hack
215	eimai me xristodoulako kanoume matlab	ok
217	you missed a call from ntiri . you missed a call from ntiri . https youtube .com watch ?v oiwmbfk e feature share	dn me arese
221	exei kialla https youtu .be mfe hoos a https youtu .be x fpumqcghw	evgale prwthnomeno auto tou giannh
226	 pote to eida egw kai pote o giannhs akous	nai
231	exeis to deutero erwthma thlepoikinwnies ?	ye
233	gia steilto 	tou giannou
237	thelw na dw pws grafei to . 	tha mpeis cs ?
239	mpeite ena paw bplta th molh	https www .youtube .com watch ?v aytuv kkgoy ab channel projectnasaska
241	esy kai o arxhgos nzxt xd hahhahahaha	kai o dave d ntaksei
246	n tha mpeis ?	nai
249	twra bghkame mpees xanamphkame tha mpeis re .alama ?	mpainw
254	ante theloume o	to kleinw
256	 . . . kala eisai siobaros ? ante re malaka perimenoume	to kleisa mpainw .
264	re malaka tha ekanes sto game mesa giati eisai pepegkas	poioi einai autoi
267	nzxt gia ton poutso https youtu .be xikosrqdq 	ntaxei r mlk arpaxe ligo pws kaneis etsi
270	 bgainw bb 	adunamos
274	ayrio mathimatika	egw 
277	 	evgale to cap sto lobby ti fash
279	a nai twra logika tha exeis kai perissotera fps sto game mallon	me to pou evala to texture sto auto high
286	 nai den yparxei logos	eye candy
290	perasaaaaa poutaneeees	 ?
292	yy	wraios
297	skeftomai na mhn paw mhn ginw rezili mpes csss	mpainw
303	pousai otan teleiwseis steile	ela steile
307	kk pame mw ? den xanampainw me matkaps poteeee	brethhke to problhma gia to ping
311	 pes tou na paei ekei sto progress kai na pathsei apeggrafh apo th sxolh apoles tis sxoles akooous e malaka brhka kati gamato https steamcommunity .com sharedfiles filedetails ?id kane subscribe se auto to map kai exei otan mpaineis mode pou kathesai mid kai baras ton allon pou pernaei apo ta doors exw kablwsei	looool
321	nai exei kai alla gia na matheis smooes klp alla auto me to awp gamaei	kai pws katevainei h pista
326	oxi mpaneis kai kaneis subscribe sthn pista kai thn exei ekei pou leei workshop map	komple
329	auto einai kai pata ekei pou leei awp practise kai aneba panw sthn exedra	to eixe kanei kai o linus auto
334	nai to xw dei den xerw epishs sto idio ama pathseis ekei sou deixnei ta koumpia tou pontikiou sou kai mhpws deis poio einai auto pou thes na baleis to mic cs ?	paizw me ta paidia ap to xwrio
338	k	e
342	oxi ntax eisai to poly poly tou dineis kialla meta enw ama tou dwseis polla twra den mporeis na kopseis meta	akous
347	cs	ok
349	you missed a call from ntiri .	gia to install hthela na se rwthsw ekei pou dialegeis partition
352	kkk anakthsh pws phges ?	 project
360	o xristos re malaka phgaines gia parapanw ?	oxi
363	e tote mia xara eisai	apo ta themata
367	to mathhma genika eukolo h dyskolo ?	foul dyskolo
375	daaamn ebgale gemikous bathmous ? ta phgane oloi gia ton poutso ennow ? 	sto discord osoi egrapsan
380	makria apo mas 	nai r
383	blepw link helena live kai den thelw na to pathsw exei balei leei ton fako sta byzia 	ntaksei gia treis wres
390	e malaka ekana pc gia th mana mou xthes oute den mou phre mazi me to unboxing 	e rmlk mia motherboard evales mobo
393	petaxa ola ta kalwdia mesa kai twra tou bazw windows kai barane ta kalwdia stous anemisthres kala true	ahahah
398	 malaka o xristos	mlk exei xefygei to prama
402	a kala . . . . tha paroume mallon karta grafikwn auto foul akraio pousai	kateva
407	 	e ta gyalia mou einai se sena e ?
409	nai nai na sou pw re	ela
412	lewforeio apo thess gia patra xereis pote exei ? eida sto site tetarth to prwi isxyei h lene malakies ?	nai isxuei
416	kk thnx 	k pes auton pou thelei oti ta ekdothria einai kleista
420	ti les re malaka kai pou einai h apothhkh ? klaiw	einai mesa sta lewforeia . . . .h prwth apothiki apo ekei pou mpainoun kai vgainoun
425	den to shkwnoune oi malakes	prepei na pare sthn apothikh
428	a ok	 
430	e re malaka poso gamatos eisai pxia brady cs ?	nai inferno
434	giati tinepathes ? 	oxi alla exw sixathei dust k xthes epaikse match inferno polu kala 
437	kkk nice	ntiri
439	e	pws legetai to map pou kanoume zestama
442	https steamcommunity .com sharedfiles filedetails ?id molis mpeis patas sto tsat comp	ta mpotakia pws ta bgazw
445	bot kick ntiri called you . ntiri called you .	e phra tlk thn yfanth me leei tha pane kata tis eksw . . .opote dn vgainw twra gia mish wra
450	kkk ama thes ela apo dw kanw pitsa tha mazeutoume kai me allous	wraia
454	nai re	erxomai
456	to mpoufan fereee	nai
460	tha brexei re malaka	les ?
462	to skeftomastan kai meis alla etsi lene ta kinhta	leeiontws stis 
465	nomizw nai na sou pw epeidh exoune fygei prin ta kanoume kan na sou krathsw mpiskoto ?	naiiii
470	mallon tha ta exei aurio ? xwris erwthmatiko kai tha mazeutoume edw ama thes na rtheis aurio	nai komple
476	kala pros to paron to mpiskoto tha einai twra den xerw an tha paroune na kanoune kai tipota allo	tha to suzhthsoume ekei
479	kkk kala autoi tha erthoune kata tis ela sy pio nwris an einai	to prwi ?
485	nice	na st ferw h na ta faw dn kserw
487	ferta	ti wra
489	ela kai twra	erxomai
491	ante re malakaaaa you missed a call from ntiri . pare me na sou pw	you called ntiri .
500	e nai tha exei pisteuw bolta n parko ?	prepei na teleiwsw kati malakies gia to project mexri aurio dn prolavainw me tpt
503	kk	eeee
505	e	tha pame me th maria kai thn yfanth gia ena kafe
509	parko ? hahahahahh xwris thn kardia 	dn nomizw parko oxi
516	e tote den nomizw na siy w leme kai meis me tous alliys na pame gia kana mpasket pshnesai ?	opa
523	ok molis mou poun tha sou pw se ligo tha xerw mpasket ? se auto konta sto spiti mou eimaste me sena	wraia nai
530	otan ksekinhseis pes moth	xekinaw
532	wraia exw paei me xrhsto	tha mpeis cs ?
534	oxi douleuw to prwi	ok
539	 	r
544	den xerw brhkes amaxi ?	oxi
549	bouskes gia na baleis mesa sto kouti ennoeis ?	nai
551	den xerw	mesa sto xartino kouti
553	kalou kakou lew bgale aplws thn karta den exeis ta plastika pou eixe ?	exw ta felizol
557	e auta	to katw mono
561	pisteuw me to felizol tha eisai komple egw etsi to phgainofernw	entwmetaxy lew na xanagyrisw meta to pasxa . . . alla thelw to pc giati dn ginete dyo ebdomades na mh kanw tpt
564	giauto agorazeis laptop mikre mou pepegka nai re malaka erxomai den einai kati siga	kai epishs skeftomai na kamouflarw ta koutia
568	auto kalo tha htan alla pws 	exw spray
572	siga mikre mou xouligkan 	tlk dn tha parw pc tha xanagyrisw opote mh to exeis sto nou sou gia kyriakh
574	kk	https vm .tiktok .com zmexwj u 
579	e	les na bgalw th karta grafikwn 
583	nai balthn se mia tsanta kai parth mazi siga	kalws
586	re malaka skeftomouna toso kairo pou eixes afhsei to ps edw ama to eixes baleii na kanei minning tha eixes bgalei tou pousth ta lefta	to eixa skeftei
592	siga re to poly na phgaina mia fora th bdomada na dw oti einai ola komple kala tespa twra naxame nalegame .	alla ntaxei dn htan kai programmatismeno na meinw toso
598	den ftais esy re malaka o erwtas ftaiei	the video chat ended .
603	 	worth
605	aaapeira tha parw alles dyo foul https youtube .com watch ?v tsisqq qdxg feature share	 cm dick
610	https www .instagram .com seniora rose . . . . efyge . . . ti tou les ? pame next mazi ? comp ?	nai
617	nai gamw to spiti tou	ff
619	mpes re	twra xezw
624	tha mpoume allo ?	to vrady
626	xronia polla re poustakiiiiiiiiiiii	ntiri
631	nice	diabazw oti leitourgei me update bios
633	mporei na thelei flash bios	alla dn tha douleuei kala
635	oxi re mia xara einai kai to update den einai aparaithto se kainourgies genies erxontai etoimes aplws ti mhtrikh einai ?	edw leei oti kanei support thn genia
639	nai re thn kamei kanonika kanei aplws thelei flash bios h augkekrimenh kai h malakia einai oti epeidh den exei opws h dikia sou thyra sygkekrimenh	prepei na valei to palio cpu ?
649	ti cpu exei ?	dn kserw dn thumamai
651	katse re agora mhtrikh h oxi ?	nai agorase
656	miso ti epexergasth phre ?	ryzen x
659	des ti brhka sto skroutz ! https www .skroutz .gr s msi b m pro vdh motherboard micro atx ce bc ce b amd am socket .html ?utm source android utm campaign skroutz share kalh fthhnh einai auth kai exei kai koumpi gia bios flash se periptwsh dld pou den exei apo monh ths to kainourgik bios kanei update xwris ton palio epexergasth	kai o palios tou cpu einai intel
666	e tote den kanei	entwmetaksu dn kserw gt kahke autos kai dn me rwthse
670	athhna twra mallon tha katsw gia exetastikh esy tha katebeis ?	nai mesa septemvriou
674	den dineis tipota ?	dinw alla exw ena keno ekei
680	ti les re paei terma to cs e ?	sth patra evala
684	ti les	nai r
689	ara exei lanakia spiti sou molis pame patra 	 to mhna
692	malaka poly worth ?	einai ena kouponi pou dinei to kratos
699	tha to psaxw	ton logariasmo
701	niiiice	meiwnei
708	 	 
710	kaloooos to akraio einai epexergasths mhtrikh 	phre auto to kouti
714	elouse kamposo o filos se fash ebaze ta pio fthhna pou eblepe ? 	mlk dn xerw
723	nai to eida alla kai pali den exei poly xwro gia na kaneis aneta douleia kai auth pou sou esteila .micro atx einai	https www .plaisio .gr anavathmisi diktia anavathmisi pc mitrikes kartes asrock motherboard b m hdv ?qid bc b c c e dbd a qix products
728	den exei koumpi gia bios flash prepei na psaxeis na brei mia mhtrikb pou exei koumpi gia bios flash	afou einai b auth
733	oxi sigoura sto site tous leei oti einai symbath	leei k ready
737	party sthsimatos kante kai ena garo na to xareite twra 	koka
741	h peiraiws ti douleia exei ekei 	egw mauro omws
745	nai to katalaba	cable management eprepe na deis
750	re na sou pw	ela
752	prozekt web me poion eisai ?	jayson tsak
754	toxete kaeni ? kanei ?	to paleuoume
757	re mpro na sou pw epeidh exw kollhsei mporeis na mou steileis ta arxeia gia to deutero erwthma tou admin gia na dw ti ston poutso kaneis ? giati eimai meres twra kai den katalabainw xristo	twra prepei o tsakwnas kanei to deutero tou admin
763	e gamw to spiti re sou lew kathomai kai to koitaw kai den katalabainw kan ti prepei na kanw gamw th mana tou kk	k tha sou pw
766	ty paizei na eides to protzekt ?	nai dn eixe anebasei tpt o tsak tha mpoume kol to apogeuma na mou pei ti ekane
0	you missed a call from vasilis . you missed a call from vasilis .	vasilis missed your call .
3	poue tha ertheis pote	dn exw idea
6	kopse ta xaza	ahhaha r eixa skopo na erthw me autokinhto me ena paidi pou exei gomena sth salonilkh
10	karantina xwrio gamaei	ama gyrisw skepsou oti tha se pseirizw sto vrazilianiko
13	den mporeis me tipota pleon	axaxxa gt phres anabathmish 
15	asto allou to exoume paei	etsi prepei
18	xaxaxxzax xaxxaxxxax	pou eiste
22	nai alla tha fygw fygoume	ok
26	euxaristw gia to kerasma . r ti na ginetai opws ta afhses	etsi ta afhsa
30	etsi einai akoma 	 
36	eisai wraios euxaristw the video chat ended .	the video chat ended .
40	aurio erxesai h shmera 	aurio to meshmeri tha ftasw
42	ti wra to meshmeri 	 
44	wraiosss	mporei k pio nwris ama katevw sta diodia
46	kateba na erthoume na paroume 	ooo kalo
49	nai re	wraia tha milhsoume
51	 you missed a video chat with vasilis .	e
54	ela	steile sto techpoint
63	nai r you missed a video chat with vasilis .	the video chat ended .
66	you missed a call from vasilis .	the video chat ended .
70	foul mpro	karga suneffo larisa
73	foul gamato kairo edw	ti wra koimithikes
75	 xaxaxaxa	wraios 
78	xaxaxaxaxaxaax a a axaxaxaxax paranoiaaaaa you missed a video chat with vasilis . xypna	xypnhsa
83	wraios you missed a call from vasilis .	vasilis missed your call .
86	you missed a call from vasilis . vasilis called you . se posh wra eisai etoimos you missed a call from vasilis . you missed a call from vasilis . bgale sxedio	nai
93	kai o trelos mesa	wraia
95	kana sentoni oxi aspro omws etsi pio	ahahhahah
99	ikano se exw	tha pw thn amalia
101	nai katw tha to exei ti wra tha xekinhsoume 	 
104	arga einai re fysaei meta 	you called vasilis .
110	ela	vsk tpt xwrame
112	to xerw sentoni	psathes
115	xaxaxax	e nai r mlk ti sentoni
117	xerw egw mpes des ti bazoun katw	na parw auto ?
121	nai pare	mhpws na paroume kana mpoukali apo fwtara
124	oxi oxi	koka ?
127	kafe kai blepoume xaxaxaxaxa xaxaxaax to brady	ok
133	se mena perimene o geros na etoimastei ainte ela	bges
137	oxi ainte ela na me pareis na pame	nai trww mia kai pame
140	kai se ligo kai kaseris tha einai etoimos you missed a call from vasilis .	egine
144	you missed a call from vasilis .	kanoume kanena kentro ?
146	mpaaaa akoma baraw egw	pou varas re
149	se mena re twra xypnhsa	edw koimhthhkes 
152	prin ligo	mexri prin ligo eimastan se sena kai pinate 
155	mporei k auto	e koimhsou ante
158	tha bgw re ti agxwnesai	kleisto eisai
161	twra pame	e pare ta kalwdia
164	egine wraios	pou eiste
167	kleisto	ok
169	thes na pioume kana mpoukali 	dn kserw an tha rthw
171	aaa ok vasilis called you . you missed a call from vasilis .	e
175	vasilis called you . vasilis called you . you missed a call from vasilis .	e
180	ee	ela
182	tha pioume kafe vasilis called you . vasilis called you . you missed a call from vasilis . ante pshsou	ti wra
188	pio meta	pame twra meshmeri exw douleia
191	sto kentro ygeias rantebou 	e mporei na thelei gia aktines
194	vasilis called you .	mlk eida th kinhsh k agxwthika
201	auta exw	exoun stenh grammh ?
203	nai foul	ntaksei komple
207	ta exei o matzounhs	nai me to eipan
210	e nai ontws	gia pes eisai megalo onoma apo tous kainourious ?
212	sto dimoiria mono	wraios
214	nai ti na se pw exei polla giotompalaaa you missed a video chat with vasilis .	vasilis missed your video chat .
219	pwww	ladadika 
227	 	to poldo k to neon
231	to neon sigoura nai o polnto se mia fash eixe ygraerio nomizw giati 	tpt malakies
254	apanta re thelei kanenas allos 	 ada eimaste sigouroi
258	wraia nai	o marios an dn vrethei tha erthei logika
261	egw esy giwrgos trelos 	nai
263	spesial	ela sto upsilon hrthame
269	nai kentro wraia kai egw auta eida http xwb f .jiangsuyanghe .com cocawc tb .php ?v gr ms	dn eisai kala
274	you missed a call from vasilis .	you called vasilis .
277	vasilis called you .	e tha pame io
280	bgalate sta froutakia 	oxi r
285	kai posa lefta tha fate 	 eurw th mera
288	mono 	o kathenas meta oti thelei na kanei ekei
293	ompooo kalh fash pote 	 
296	dyskolo r eo the video chat ended .	the video chat ended .
300	den exei shma edw gamwww	a nomiza se teleiwsan ta mb
302	den pianw oute shma edw r	hrthame agia sofia
305	nai k exete piei ta panta	k oloi koitaw auta
308	posa lefta exoun 	dn xerw
310	e des ee tha me pareis dekara gamhthhkes you missed a video chat with vasilis .	vasilis missed your video chat .
319	ti wraia parea exw egw na xarw ti kanei r	pswnia
322	xaxaxax me poion	dn mporw na pw
324	ti kainourgio einai auto 	me poion ekane pswnia
327	giati 	gt mporei na se xrwstan lefta kserw gw
330	oxi re mlka xaxaxaxaax lege	me tous k .k
334	ee den tous xerw	kaseri karakoba
337	nai re apo poion kamene	aaaa
342	aaa xthes eixame ergo dld ekei pou den tha ginotan . ti les ree	gyfto albano
346	pwww katw ginate 	bila leka
349	nai apo katw phrate	oxi
353	aaa katalaba malista	telos h karantina ?
356	nai r aurio petaw	a nai deutera aurio
360	nai meta ta pen	k adeia dn provlepete suntoma e ?
362	egw den xerw tpt akoma o lazaros augousto	thn exei kanonisei 
365	oxi oxi den xerei oute autos . gamhseta einai to exei to programma ti glyko auth einai tou karakoba	ti ennoeis
372	the video chat ended . sagapw euxaristw you missed a video chat with vasilis .	the video chat ended .
378	you missed a call from vasilis .	ela
380	perimene meta posa lefta theloume diakopes	 to kampingk
385	kai oti fame ekei 	nai
389	oxi pws tha erthw ekei	ennow tha gyriseis ?
392	nai tou mhnos erxomai	ara
395	nai auto lew kanonise to	tha prospathhsw alla prepei na exei thema o tsoulhs
401	nai tha mathw kai to wra petame	mazi tha rtheite r 
403	oxi re milhses 	oxi dn vghka apo to spiti
407	mesa kai mena apla	e nai
411	kai ths poutanassa	na fygei ena stis ena stis 
413	nai auto phga na sou pws pw xereis ths poutanas etsi me kr epistrofh	les ?
420	ntaxei tha phgainoume kana manasou ligo etsi	korona re
422	ai twra	dn exei partu pouthena
424	kai mouniaaa pou	ekei pou tha eimaste tha exei
426	to elpizw gt prepei na xwthw den eimai kala	viasmos sto platanitsi apo xrono
430	kati tetoio akous exw adeia telika	ompoo
435	ela	 telika ?
437	nai re pousth mou xeroume kanenan pou tha paei xalkidikh	 gurnas
440	nai	 tha eisai gia xalkidikh
443	nai akribws tha xekinhsw to prwi me ktel logika	sabbato ti wra ftaneis 
446	den xerw akoma makari na ftanw prwi gamhthhke re	thes na pas ap to spiti 
450	alla tha prolabw meres toulaxisto .	to sabbato 
452	na parw lefta re	 feugoume kanonika
454	xaxaxaxax e fygete xaxaxa	tha tous pw na pame pempth
459	e nai ligo prepei des to oxi	 
462	tha exw test	oxi gia auto
468	den peirazei tha exw thn allh fora gia kati allo xaaxaxax	exei merh na to fas isxyei
472	mystika opla einai auta	to stelnw ston ermtogan
474	mhhh mhhh blaka tha mas piasoun	ekeino to koukoulwmeno ti einai
477	nekrous exoune mesa xaxaxaxax	 
481	opla re malaka	panw sto oplo
483	aaastoxos rentntont	wraia gt rwtaei
486	xaxaxaaxax xaxaxaxaxaax malaka eisai k xazos esy mhn thn deixei pouthena tha me gamhspy . aporrhto einai stratodikeio	ahhaha nai r
495	oxi re malaka se lew kabe me mia xarh thes ktel thessalonikhs gia xalkidikh oso pio nwris ginetai augousto	na erthw na se parw
501	wraios kai pes mou	s xalastras
506	wraios ee des kai dromologia	ti
511	xaxaxaxaxaxaxaxa xaxaxaxaxaxaxa apo ktel xalkidikhs	katse twra na me fygei to mountou
515	malaka ontws 	nai
517	eleos re mlka tes ligo	se ligo na me fygei h koka
520	a gamhsou des re prezaki	tha dw shmera
523	wraios eides	the video chat ended .
526	ooooo ontws 	nai
530	ti md 	nai
532	apo to allo den exei eee eeee eee eee steile me 	vasilis missed your call .
542	re malaka pws xereis oti den exw peiraiws enw exw pes mou	gr 
548	wrios euxaristw eee pes ton savva na dei to kinhto toy	vasilis missed your call .
553	the video chat ended .	you called vasilis .
556	ala	epeidh h aderfh m exei kanei hdh ena test pcr sth xristina mou leei oti dn mporei na xrewthei k allo test sto onoma ths kai einai periploko gt prepei na kanonisei kai me ton giatro na brei wra na sou parei deigma kai tetoia
560	nai xerw ematha gia 	mporei na kanoun ekei dwrean test
562	kai edw kentro ygeias ematha se kanoun free	lege r
564	nai o maik eipe twra ti na pw	eiste exw 
